downloads,documentation,link_update
http://www.nyc.gov/html/dcp/download/bytes/nycb2000wi_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000wi_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000wi_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000wi_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2000wi_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010_12c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010wi_12c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010wi_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010wi_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010wi_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010wi_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycb2010wi_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycc_12c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycc_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycc_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycc_13b_postredist.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycc_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycc_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycc_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyccwi_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyccwi_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyccwi_13b_postredist.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyccwi_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyccwi_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nyccwi_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycd_12c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycd_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycd_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycd_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycd_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycd_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycdwi_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycdwi_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycdwi_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycdwi_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycdwi_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycg_12c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycg_13a.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycg_13b.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycg_13c.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycg_13dav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycg_14aav.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe__201401_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe__201403_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201305_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201305_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201306_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201306_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201307_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201307_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201308_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201308_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201309_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201309_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201310_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201310_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201311_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201311_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201312_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201312_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201401_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201403_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgissidewalkcafe_201403_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201305_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201305_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201306_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201306_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201307_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201307_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201308_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201308_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201309_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201309_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201310_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201310_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201311_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201311_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201312_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201312_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201401_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201401_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201403_fgdb.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgiszoningfeatures_201403_shp.zip,,
http://www.nyc.gov/html/dcp/download/bytes/nycgwi_13a.zip,,
